"Time","RegionCode","RegionName","Values_Updated"
2007,"AT","Austria",0.297074
2007,"BE","Belgium",0.173471
2007,"BG","Bulgaria",0.210635
2007,"CY","Cyprus",0.0958637
2007,"CZ","Czechia",0.117613
2007,"DE","Germany",0.140656
2007,"DK","Denmark",0.405949
2007,"EE","Estonia",0.198579
2007,"EL","Greece",0.327724
2007,"ES","Spain",0.0753292
2007,"FI","Finland",0.179181
2007,"HU","Hungary",0.14967
2007,"IE","Ireland",0.0821558
2007,"IT","Italy",0.166745
2007,"LT","Lithuania",0.167311
2007,"LU","Luxembourg",0.546047
2007,"LV","Latvia",0.577375
2007,"MT","Malta",0.185292
2007,"NL","Netherlands",0.134911
2007,"PL","Poland",0.277128
2007,"PT","Portugal",0.339222
2007,"RO","Romania",0.141322
2007,"SE","Sweden",0.267458
2007,"SI","Slovenia",0.099641
2007,"SK","Slovakia",0.240228
2007,"UK","United Kingdom",0.125907
2008,"AT","Austria",0.100624
2008,"BE","Belgium",0.212928
2008,"BG","Bulgaria",0.439879
2008,"CY","Cyprus",0.0776706
2008,"CZ","Czechia",0.822282
2008,"DE","Germany",0.118529
2008,"DK","Denmark",0.359638
2008,"EE","Estonia",0.391215
2008,"EL","Greece",0.263875
2008,"ES","Spain",0.0951042
2008,"FI","Finland",0.108139
2008,"HU","Hungary",0.126454
2008,"IE","Ireland",0.373567
2008,"IT","Italy",0.163791
2008,"LT","Lithuania",0.348908
2008,"LU","Luxembourg",0.179319
2008,"LV","Latvia",0.587449
2008,"MT","Malta",0.523564
2008,"NL","Netherlands",0.46045
2008,"PL","Poland",0.124668
2008,"PT","Portugal",0.230068
2008,"RO","Romania",0.147326
2008,"SE","Sweden",0.305286
2008,"SI","Slovenia",0.0978728
2008,"SK","Slovakia",0.0936622
2008,"UK","United Kingdom",0.309341
2009,"AT","Austria",0.285272
2009,"BE","Belgium",0.121748
2009,"BG","Bulgaria",0.424939
2009,"CY","Cyprus",0.160644
2009,"CZ","Czechia",0.394773
2009,"DE","Germany",0.419889
2009,"DK","Denmark",0.220227
2009,"EE","Estonia",0.0844769
2009,"EL","Greece",0.27153
2009,"ES","Spain",0.0922594
2009,"FI","Finland",0.320467
2009,"HU","Hungary",0.253771
2009,"IE","Ireland",0.99472
2009,"IT","Italy",0.382414
2009,"LT","Lithuania",0.169538
2009,"LU","Luxembourg",0.303492
2009,"LV","Latvia",0.227166
2009,"MT","Malta",0.137905
2009,"NL","Netherlands",0.125863
2009,"PL","Poland",0.108378
2009,"PT","Portugal",0.251302
2009,"RO","Romania",0.128384
2009,"SE","Sweden",0.0666712
2009,"SI","Slovenia",0.0645402
2009,"SK","Slovakia",0.066625
2009,"UK","United Kingdom",0.0906466
2010,"AT","Austria",0.282902
2010,"BE","Belgium",0.142917
