"HealthTopic","Population","Distribution","Unit","Time","RegionCode","RegionName","CategoryIndex","Category","Value"
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","AT","Austria",1,"0-4",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","AT","Austria",2,"5-14",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","AT","Austria",3,"15-24",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","AT","Austria",4,"25-44",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","AT","Austria",5,"45-64",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","AT","Austria",6,"65+",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","BE","Belgium",1,"0-4",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","BE","Belgium",2,"5-14",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","BE","Belgium",3,"15-24",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","BE","Belgium",4,"25-44",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","BE","Belgium",5,"45-64",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","BE","Belgium",6,"65+",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","BG","Bulgaria",1,"0-4",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","BG","Bulgaria",2,"5-14",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","BG","Bulgaria",3,"15-24",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","BG","Bulgaria",4,"25-44",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","BG","Bulgaria",5,"45-64",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","BG","Bulgaria",6,"65+",-
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","CY","Cyprus",1,"0-4",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","CY","Cyprus",2,"5-14",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","CY","Cyprus",3,"15-24",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","CY","Cyprus",4,"25-44",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","CY","Cyprus",5,"45-64",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","CY","Cyprus",6,"65+",0.000000000
"Leptospirosis","Confirmed cases","Age-specific rate","N/100000","2007","CZ","Czechia",1,"0-4",0.000000000
